// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Face Facet Data File
// ================================================================================
//
// Data Structure:
// n x1 y1 z1 x2 y2 z2 x3 y3 z3
// One line per face facet, first number is the tet node index
// Note: All indices are zero-indexed
//
// ================================================================================
0 0 0 0 0 5 5 0 6.666666667 3.333333333
0 0 0 0 0 5 0 0 6.666666667 3.333333333
1 0 10 10 0 5 5 0 6.666666667 3.333333333
1 0 10 10 0 10 5 0 6.666666667 3.333333333
2 0 10 0 0 5 0 0 6.666666667 3.333333333
2 0 10 0 0 10 5 0 6.666666667 3.333333333
3 0 0 10 0 5 10 0 3.333333333 6.666666667
3 0 0 10 0 0 5 0 3.333333333 6.666666667
1 0 10 10 0 5 10 0 3.333333333 6.666666667
1 0 10 10 0 5 5 0 3.333333333 6.666666667
0 0 0 0 0 0 5 0 3.333333333 6.666666667
0 0 0 0 0 5 5 0 3.333333333 6.666666667
4 0 10 20 0 7.5 17.5 5.22825372e-14 5 18.33333333
4 0 10 20 7.842380581e-14 5 20 5.22825372e-14 5 18.33333333
5 0 5 15 0 7.5 17.5 5.22825372e-14 5 18.33333333
5 0 5 15 7.842380581e-14 2.5 17.5 5.22825372e-14 5 18.33333333
6 1.568476116e-13 -1.110223025e-15 20 7.842380581e-14 5 20 5.22825372e-14 5 18.33333333
6 1.568476116e-13 -1.110223025e-15 20 7.842380581e-14 2.5 17.5 5.22825372e-14 5 18.33333333
6 1.568476116e-13 -1.110223025e-15 20 7.842380581e-14 2.5 17.5 5.22825372e-14 1.666666667 15
6 1.568476116e-13 -1.110223025e-15 20 7.842380581e-14 -5.551115123e-16 15 5.22825372e-14 1.666666667 15
5 0 5 15 7.842380581e-14 2.5 17.5 5.22825372e-14 1.666666667 15
5 0 5 15 0 2.5 12.5 5.22825372e-14 1.666666667 15
3 0 0 10 7.842380581e-14 -5.551115123e-16 15 5.22825372e-14 1.666666667 15
3 0 0 10 0 2.5 12.5 5.22825372e-14 1.666666667 15
4 0 10 20 0 10 15 0 8.333333333 15
4 0 10 20 0 7.5 17.5 0 8.333333333 15
1 0 10 10 0 10 15 0 8.333333333 15
1 0 10 10 0 7.5 12.5 0 8.333333333 15
5 0 5 15 0 7.5 17.5 0 8.333333333 15
5 0 5 15 0 7.5 12.5 0 8.333333333 15
5 0 5 15 0 7.5 12.5 0 5 11.66666667
5 0 5 15 0 2.5 12.5 0 5 11.66666667
1 0 10 10 0 7.5 12.5 0 5 11.66666667
1 0 10 10 0 5 10 0 5 11.66666667
3 0 0 10 0 2.5 12.5 0 5 11.66666667
3 0 0 10 0 5 10 0 5 11.66666667
7 0 15 5 0 17.5 7.5 0 18.33333333 5
7 0 15 5 0 17.5 2.5 0 18.33333333 5
8 0 20 10 0 17.5 7.5 0 18.33333333 5
8 0 20 10 0 20 5 0 18.33333333 5
9 0 20 0 0 17.5 2.5 0 18.33333333 5
9 0 20 0 0 20 5 0 18.33333333 5
2 0 10 0 0 12.5 2.5 0 15 1.666666667
2 0 10 0 0 15 0 0 15 1.666666667
7 0 15 5 0 12.5 2.5 0 15 1.666666667
7 0 15 5 0 17.5 2.5 0 15 1.666666667
9 0 20 0 0 15 0 0 15 1.666666667
9 0 20 0 0 17.5 2.5 0 15 1.666666667
7 0 15 5 0 12.5 7.5 0 15 8.333333333
7 0 15 5 0 17.5 7.5 0 15 8.333333333
1 0 10 10 0 12.5 7.5 0 15 8.333333333
1 0 10 10 0 15 10 0 15 8.333333333
8 0 20 10 0 17.5 7.5 0 15 8.333333333
8 0 20 10 0 15 10 0 15 8.333333333
1 0 10 10 0 12.5 7.5 0 11.66666667 5
1 0 10 10 0 10 5 0 11.66666667 5
7 0 15 5 0 12.5 7.5 0 11.66666667 5
7 0 15 5 0 12.5 2.5 0 11.66666667 5
2 0 10 0 0 10 5 0 11.66666667 5
2 0 10 0 0 12.5 2.5 0 11.66666667 5
10 0 15 15 0 12.5 17.5 5.22825372e-14 15 18.33333333
10 0 15 15 7.842380581e-14 17.5 17.5 5.22825372e-14 15 18.33333333
4 0 10 20 0 12.5 17.5 5.22825372e-14 15 18.33333333
4 0 10 20 7.842380581e-14 15 20 5.22825372e-14 15 18.33333333
11 1.568476116e-13 20 20 7.842380581e-14 17.5 17.5 5.22825372e-14 15 18.33333333
11 1.568476116e-13 20 20 7.842380581e-14 15 20 5.22825372e-14 15 18.33333333
8 0 20 10 0 17.5 12.5 5.22825372e-14 18.33333333 15
8 0 20 10 7.842380581e-14 20 15 5.22825372e-14 18.33333333 15
10 0 15 15 0 17.5 12.5 5.22825372e-14 18.33333333 15
10 0 15 15 7.842380581e-14 17.5 17.5 5.22825372e-14 18.33333333 15
11 1.568476116e-13 20 20 7.842380581e-14 20 15 5.22825372e-14 18.33333333 15
11 1.568476116e-13 20 20 7.842380581e-14 17.5 17.5 5.22825372e-14 18.33333333 15
1 0 10 10 0 10 15 0 11.66666667 15
1 0 10 10 0 12.5 12.5 0 11.66666667 15
4 0 10 20 0 10 15 0 11.66666667 15
4 0 10 20 0 12.5 17.5 0 11.66666667 15
10 0 15 15 0 12.5 12.5 0 11.66666667 15
10 0 15 15 0 12.5 17.5 0 11.66666667 15
10 0 15 15 0 17.5 12.5 0 15 11.66666667
10 0 15 15 0 12.5 12.5 0 15 11.66666667
8 0 20 10 0 17.5 12.5 0 15 11.66666667
8 0 20 10 0 15 10 0 15 11.66666667
1 0 10 10 0 12.5 12.5 0 15 11.66666667
1 0 10 10 0 15 10 0 15 11.66666667
12 7.07106781 8.084251404 22.92893219 3.535533905 9.042125702 21.46446609 2.357022603 6.028083801 20.97631073
12 7.07106781 8.084251404 22.92893219 3.535533905 4.042125702 21.46446609 2.357022603 6.028083801 20.97631073
4 0 10 20 3.535533905 9.042125702 21.46446609 2.357022603 6.028083801 20.97631073
4 0 10 20 7.842380581e-14 5 20 2.357022603 6.028083801 20.97631073
6 1.568476116e-13 -1.110223025e-15 20 3.535533905 4.042125702 21.46446609 2.357022603 6.028083801 20.97631073
6 1.568476116e-13 -1.110223025e-15 20 7.842380581e-14 5 20 2.357022603 6.028083801 20.97631073
13 7.07106781 -1.570092458e-15 22.92893219 7.07106781 4.042125702 22.92893219 4.714045207 2.694750468 21.95262146
13 7.07106781 -1.570092458e-15 22.92893219 3.535533905 -1.340157741e-15 21.46446609 4.714045207 2.694750468 21.95262146
12 7.07106781 8.084251404 22.92893219 7.07106781 4.042125702 22.92893219 4.714045207 2.694750468 21.95262146
12 7.07106781 8.084251404 22.92893219 3.535533905 4.042125702 21.46446609 4.714045207 2.694750468 21.95262146
6 1.568476116e-13 -1.110223025e-15 20 3.535533905 -1.340157741e-15 21.46446609 4.714045207 2.694750468 21.95262146
6 1.568476116e-13 -1.110223025e-15 20 3.535533905 4.042125702 21.46446609 4.714045207 2.694750468 21.95262146
14 10 2.719262148e-31 30 8.535533905 4.042125702 26.46446609 8.04737854 2.694750468 25.28595479
14 10 2.719262148e-31 30 8.535533905 -7.850462291e-16 26.46446609 8.04737854 2.694750468 25.28595479
12 7.07106781 8.084251404 22.92893219 8.535533905 4.042125702 26.46446609 8.04737854 2.694750468 25.28595479
12 7.07106781 8.084251404 22.92893219 7.07106781 4.042125702 22.92893219 8.04737854 2.694750468 25.28595479
13 7.07106781 -1.570092458e-15 22.92893219 8.535533905 -7.850462291e-16 26.46446609 8.04737854 2.694750468 25.28595479
13 7.07106781 -1.570092458e-15 22.92893219 7.07106781 4.042125702 22.92893219 8.04737854 2.694750468 25.28595479
15 10 10 30 8.535533905 9.042125702 26.46446609 9.02368927 6.028083801 27.6429774
15 10 10 30 10 5 30 9.02368927 6.028083801 27.6429774
12 7.07106781 8.084251404 22.92893219 8.535533905 9.042125702 26.46446609 9.02368927 6.028083801 27.6429774
12 7.07106781 8.084251404 22.92893219 8.535533905 4.042125702 26.46446609 9.02368927 6.028083801 27.6429774
14 10 2.719262148e-31 30 10 5 30 9.02368927 6.028083801 27.6429774
14 10 2.719262148e-31 30 8.535533905 4.042125702 26.46446609 9.02368927 6.028083801 27.6429774
4 0 10 20 2.521732092 12.48605537 20.68249321 1.681154728 14.99070358 20.45499547
4 0 10 20 7.842380581e-14 15 20 1.681154728 14.99070358 20.45499547
16 5.043464184 14.97211075 21.36498642 2.521732092 12.48605537 20.68249321 1.681154728 14.99070358 20.45499547
16 5.043464184 14.97211075 21.36498642 2.521732092 17.48605537 20.68249321 1.681154728 14.99070358 20.45499547
11 1.568476116e-13 20 20 7.842380581e-14 15 20 1.681154728 14.99070358 20.45499547
11 1.568476116e-13 20 20 2.521732092 17.48605537 20.68249321 1.681154728 14.99070358 20.45499547
16 5.043464184 14.97211075 21.36498642 6.057265997 17.48605537 22.1469593 4.038177331 18.32403692 21.4313062
16 5.043464184 14.97211075 21.36498642 2.521732092 17.48605537 20.68249321 4.038177331 18.32403692 21.4313062
17 7.07106781 20 22.92893219 6.057265997 17.48605537 22.1469593 4.038177331 18.32403692 21.4313062
17 7.07106781 20 22.92893219 3.535533905 20 21.46446609 4.038177331 18.32403692 21.4313062
11 1.568476116e-13 20 20 2.521732092 17.48605537 20.68249321 4.038177331 18.32403692 21.4313062
11 1.568476116e-13 20 20 3.535533905 20 21.46446609 4.038177331 18.32403692 21.4313062
4 0 10 20 3.535533905 9.042125702 21.46446609 4.038177331 11.01878738 21.4313062
4 0 10 20 2.521732092 12.48605537 20.68249321 4.038177331 11.01878738 21.4313062
12 7.07106781 8.084251404 22.92893219 3.535533905 9.042125702 21.46446609 4.038177331 11.01878738 21.4313062
12 7.07106781 8.084251404 22.92893219 6.057265997 11.52818108 22.1469593 4.038177331 11.01878738 21.4313062
16 5.043464184 14.97211075 21.36498642 2.521732092 12.48605537 20.68249321 4.038177331 11.01878738 21.4313062
16 5.043464184 14.97211075 21.36498642 6.057265997 11.52818108 22.1469593 4.038177331 11.01878738 21.4313062
18 8.752109528 14.96723938 25.1625843 9.376054764 17.48361969 27.58129215 8.607725779 18.32241313 26.0305055
18 8.752109528 14.96723938 25.1625843 7.911588669 17.48361969 24.04575825 8.607725779 18.32241313 26.0305055
19 10 20 30 9.376054764 17.48361969 27.58129215 8.607725779 18.32241313 26.0305055
19 10 20 30 8.535533905 20 26.46446609 8.607725779 18.32241313 26.0305055
17 7.07106781 20 22.92893219 7.911588669 17.48361969 24.04575825 8.607725779 18.32241313 26.0305055
17 7.07106781 20 22.92893219 8.535533905 20 26.46446609 8.607725779 18.32241313 26.0305055
18 8.752109528 14.96723938 25.1625843 9.376054764 12.48361969 27.58129215 9.584036509 14.98907979 28.3875281
18 8.752109528 14.96723938 25.1625843 9.376054764 17.48361969 27.58129215 9.584036509 14.98907979 28.3875281
15 10 10 30 9.376054764 12.48361969 27.58129215 9.584036509 14.98907979 28.3875281
15 10 10 30 10 15 30 9.584036509 14.98907979 28.3875281
19 10 20 30 9.376054764 17.48361969 27.58129215 9.584036509 14.98907979 28.3875281
19 10 20 30 10 15 30 9.584036509 14.98907979 28.3875281
15 10 10 30 9.376054764 12.48361969 27.58129215 8.607725779 11.01716359 26.0305055
15 10 10 30 8.535533905 9.042125702 26.46446609 8.607725779 11.01716359 26.0305055
18 8.752109528 14.96723938 25.1625843 9.376054764 12.48361969 27.58129215 8.607725779 11.01716359 26.0305055
18 8.752109528 14.96723938 25.1625843 7.911588669 11.52574539 24.04575825 8.607725779 11.01716359 26.0305055
12 7.07106781 8.084251404 22.92893219 8.535533905 9.042125702 26.46446609 8.607725779 11.01716359 26.0305055
12 7.07106781 8.084251404 22.92893219 7.911588669 11.52574539 24.04575825 8.607725779 11.01716359 26.0305055
18 8.752109528 14.96723938 25.1625843 7.911588669 17.48361969 24.04575825 6.955547174 16.64645004 23.15216764
18 8.752109528 14.96723938 25.1625843 6.897786856 14.96967506 23.26378536 6.955547174 16.64645004 23.15216764
17 7.07106781 20 22.92893219 7.911588669 17.48361969 24.04575825 6.955547174 16.64645004 23.15216764
17 7.07106781 20 22.92893219 6.057265997 17.48605537 22.1469593 6.955547174 16.64645004 23.15216764
16 5.043464184 14.97211075 21.36498642 6.897786856 14.96967506 23.26378536 6.955547174 16.64645004 23.15216764
16 5.043464184 14.97211075 21.36498642 6.057265997 17.48605537 22.1469593 6.955547174 16.64645004 23.15216764
