// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
83 827 826 2557
3983 3626 2901 3636
4166 3168 2239 2382
2320 3754 1731 3635
1475 1463 1509 1950
2072 2337 2725 2167
3885 1804 4230 2392
3303 2820 2763 1863
3721 1915 2600 3864
3293 672 2495 1773
3559 3099 2064 3558
2751 2521 1816 3893
3197 2265 3282 3154
3105 198 2333 3652
4133 3214 4325 1760
2060 2052 2587 4370
3557 2360 1845 2865
4272 3909 3176 2660
3480 3955 3402 2533
1250 1137 3133 2148
502 110 18 3230
2959 3466 2526 1987
2127 3029 2863 3816
1686 3124 2832 2505
3000 1749 2641 2528
1555 3304 1908 2109
576 577 2162 2262
1579 1580 2684 3636
339 2569 4247 4194
1837 3909 2621 3176
2208 3813 3972 3167
1539 1047 1210 3472
191 1118 120 3119
3249 1942 4000 2389
1837 4272 3909 3176
1996 3065 3552 1690
1578 1654 3355 2684
2423 825 3010 4126
3374 3581 2372 2012
4029 794 3140 2793
3626 1576 3636 2258
3940 2624 3147 1836
3393 1704 3307 1921
1159 597 4317 1929
3442 1822 3018 3750
996 796 2618 2430
1311 1321 966 3453
1989 3731 2098 2842
2265 1999 3718 3154
1684 2070 2651 3976
2072 1606 2851 2337
156 335 1069 2833
1220 476 475 3478
682 1797 4108 4005
4337 3095 2041 1921
3193 3430 2358 3571
3076 2242 1857 1786
814 3380 2917 3205
4163 3838 1738 4291
3162 3831 3859 3461
3168 4337 1974 2041
61 3762 1810 2721
2057 1411 2538 1957
2156 3800 3310 2181
2512 3110 1724 1990
3483 984 3456 2760
920 3972 2025 1809
2190 1959 3046 3353
1637 1531 1638 3876
3875 2636 4190 3452
1149 1022 1336 4158
2446 2496 1689 3572
2390 4064 4206 2488
1152 710 3824 2262
1011 1039 1010 4235
2784 2353 1754 2051
1426 1425 1427 2631
1201 877 3172 4208
3626 2275 1953 4345
208 628 2411 4347
4189 4296 1813 3418
1774 2407 2699 3026
637 862 636 3583
2981 1752 3628 2614
3355 3020 2313 2311
962 794 1135 3140
1768 2261 4160 2696
4272 3176 2011 3129
4203 2601 3704 1807
107 1236 2688 3058
636 826 827 3086
988 989 1630 3576
1551 2326 2434 3262
3798 3768 1962 2426
2148 1895 1730 3087
4305 2527 2895 3467
3288 3945 2048 3274
720 1060 719 3039
3082 4138 2075 3588
2147 3766 2370 2678
3162 2971 1675 2248
3990 2244 2481 3310
1078 231 55 2745
1846 3072 2406 1695
651 1209 652 1832
2776 2537 2450 3441
2994 3681 2573 2041
274 548 3345 2113
3576 1600 2481 1937
639 641 4236 2591
3470 3210 3950 1977
3650 2544 3722 3686
4271 228 2395 3663
3248 3829 2280 2133
2928 2306 4276 3638
2257 3302 2343 2484
109 111 110 1737
3512 4246 2820 1960
280 279 2526 3309
1550 1560 2408 4202
3653 242 2585 2890
2667 2232 1884 3282
131 129 4258 130
3922 2693 3323 3954
2444 1833 2384 3562
1689 747 4346 2716
1837 2621 4048 2141
3277 1694 3704 2918
1627 3881 3262 2619
985 1275 2143 1923
1744 1796 3416 2274
3615 930 4309 2486
2694 3690 2201 3193
4119 1883 3765 1990
2871 792 4307 2784
3498 1971 1794 2515
3186 3197 2265 3282
1663 1547 1533 3989
3070 2232 2606 1884
1940 2335 3304 1709
3041 2118 3623 2082
2021 3402 2039 2777
240 1180 1060 2876
4331 112 2441 4099
3959 2406 3218 3527
207 174 4162 2347
2585 3140 1910 2890
1849 3068 2002 4188
1628 1627 3881 3262
1302 570 571 3990
900 1075 560 3462
1959 2190 2212 3651
3908 3268 2040 3455
2444 1930 1833 3098
1651 1607 1567 4168
2809 2430 3491 3233
1784 3559 4249 3558
597 1353 4317 1929
2325 3820 2103 4114
3332 3155 3525 3142
181 1750 3602 3609
2757 3414 3143 4185
1104 950 1103 4004
2217 1761 1922 4365
1135 311 3140 2585
2814 1716 2697 3860
3641 3545 4384 3029
2130 1930 3965 2824
1084 3166 4009 4052
3573 1966 2006 2624
2378 3771 3263 2498
1538 1627 1551 2434
3763 4324 1738 2264
1540 1639 1659 3843
4186 4368 2119 3143
1831 2201 3193 3430
219 220 1290 3779
2520 2822 4162 2398
966 3266 2078 3453
855 902 147 2155
2809 4292 1774 3233
1584 1593 3828 2442
1034 580 2537 2771
174 207 3298 2347
3136 3156 3993 3300
50 76 75 3394
303 1031 301 2024
638 1356 4305 3868
4021 1744 2585 2890
1607 1606 1567 2337
1126 591 1084 4246
4285 3238 3754 1711
128 520 3415 3148
2422 1682 2748 3859
2596 3057 4372 2365
3365 2152 2856 2106
1116 919 218 1774
4125 1785 2061 4234
3585 2565 2682 1968
1634 2460 2311 3820
2215 2598 1940 3304
2202 4189 2379 1834
3136 1831 3201 4260
1608 1642 1609 3188
577 710 1152 2262
4292 2244 3042 1774
396 399 398 3295
1745 1988 2234 2560
2621 2825 4048 2141
3305 3442 2463 3611
4362 4294 2010 2039
110 1249 109 1737
3417 2220 4076 1743
4305 1356 1755 3868
3221 2384 1984 3562
797 1624 1542 3491
2156 3800 2416 3250
2859 3017 2572 4308
1704 2957 3398 1743
4068 3449 2519 3065
1316 51 2304 2509
3704 4214 1778 2210
538 1915 3864 4256
723 226 837 2798
275 529 4314 3501
1199 1016 3255 3925
324 325 3945 1865
1988 2602 3877 2234
2066 2663 3398 1743
4068 2519 1823 2315
4141 3070 3417 4076
1905 2503 3816 3426
3675 2789 2993 4346
1108 1169 1981 4117
1532 1612 3710 2433
3432 3614 3081 3426
4141 3417 2220 4076
3155 2030 2131 2826
449 4341 4175 2460
1873 856 2071 3746
2957 4076 1743 1884
3237 628 2689 2411
4107 4037 2532 3601
2217 2069 2952 2125
4364 1999 3208 3718
2360 2955 3261 2865
2610 4314 2193 3361
2935 3834 2110 3537
3619 2776 1786 2352
3370 3208 4082 3718
2712 2309 3366 2110
525 527 526 3619
1738 4324 2366 2264
2648 3917 2939 2071
4111 2046 3031 2950
2555 3055 2885 3183
655 525 526 3619
2496 1981 1689 4117
725 76 1318 2921
3269 2017 3598 4116
859 765 767 2058
2565 2837 3610 1968
2094 1784 2904 3559
4254 4037 2379 2532
3055 2885 1739 2129
1702 1865 3827 4039
710 3824 2262 3112
3070 4141 2667 4076
3743 2277 3284 3767
1088 1643 2919 1747
4166 3217 1892 2239
3402 1722 2282 4189
1627 1559 1551 3262
578 2848 3619 2776
3780 1758 2652 3544
415 1087 412 3510
736 738 1652 3491
4049 2304 3708 2967
1837 3435 3370 3176
1210 1539 3472 3918
602 3551 2625 3789
1760 3684 2005 3880
2190 2504 1959 3353
4132 2087 3323 3487
488 489 4317 2399
596 594 597 2847
3101 2334 3724 3557
3078 2111 3713 2812
2953 2211 1984 3199
977 336 2257 3334
855 147 1845 2155
1959 1953 3753 1709
2004 2849 2659 3438
4245 1736 3228 1843
3718 3824 2155 3112
1767 3246 3550 3595
995 246 2503 3673
1304 822 2487 2744
3898 1766 2361 4176
2091 1853 4274 2347
155 159 2553 2638
3448 2088 2439 2717
2952 2568 2931 2511
526 654 3619 2352
1583 1593 3828 3682
4031 1097 3829 3248
3527 3714 2076 1690
4064 2674 2390 4097
1357 172 4388 3778
3278 3623 3886 2107
2557 826 2413 4309
3687 1872 3749 2856
1510 735 733 732
3298 2091 2673 3933
2848 2771 2242 1786
517 1320 2669 1975
46 60 2135 4330
3147 3573 2235 3570
3332 2282 1875 2007
3885 3072 1760 2276
2280 3829 2971 2061
1186 526 2404 3059
2763 502 1863 3230
1959 1953 1709 3046
463 971 713 3112
751 1311 313 3001
2503 1905 3432 3426
2067 3592 1732 3252
3443 1749 3786 3468
2783 3818 4019 1889
1583 1584 1593 3682
3498 2069 1971 2515
3913 2648 2578 3352
3402 1722 2777 2282
273 529 275 3501
167 209 169 2994
4141 2220 2667 4076
3480 3402 4105 2533
3770 3283 2793 2378
4200 4170 2700 2810
1472 38 39 4266
3159 3479 1718 2349
3825 3217 2095 2239
1710 3333 3697 1865
4019 2783 1889 3026
2857 3479 3159 2224
629 167 3407 2689
3279 2939 3852 1708
209 2994 3108 4347
180 527 3373 2404
2118 3650 3722 3686
1312 1286 956 3090
417 3281 2853 4213
1617 1616 1607 4168
2030 3079 2622 3155
3312 2857 2296 3941
2304 3708 3230 1737
1672 2702 2276 4037
2055 3768 4283 2359
1355 667 666 2153
3435 1743 1884 2621
1304 424 2561 2487
2300 1089 3472 3918
3436 2050 1713 2781
1604 1583 1603 2530
165 895 1182 1995
39 38 40 4266
711 712 855 2155
2461 3186 3128 3197
3326 1938 3688 3797
1549 1563 4203 3704
2128 2997 1758 4045
583 582 1035 2792
3186 2667 3128 3197
3977 2933 1707 3869
398 3913 4012 3773
3805 1699 3920 2281
2922 3339 2027 2673
80 4055 3060 2454
3480 3402 2596 2293
2333 198 3793 3652
2092 1161 1827 2067
2030 3079 3155 3209
2948 3693 3128 3197
3368 1752 2194 1907
3224 1897 3911 2020
3538 915 2324 2779
1744 2078 4279 2103
3693 1781 3128 3197
3959 2024 1804 2469
2907 3266 4378 2078
1570 1646 3049 3881
1665 1590 1624 2430
1121 736 192 3491
4113 4286 3988 2979
4064 2131 3514 2044
3829 2971 3234 1901
3401 1803 2667 3398
2485 1872 3687 2398
2128 3481 2540 2806
1999 2265 3101 3557
2766 3757 2507 3326
1356 3086 1755 3868
1823 4349 2437 3676
2583 2594 4103 1854
289 925 2955 3202
2969 2499 4116 1855
3283 3991 2506 1995
2882 4301 2546 3367
2518 2387 3733 3763
214 613 616 3121
895 199 1182 3625
2594 4222 4103 1854
1249 502 674 3230
2378 4245 2498 1923
2746 3169 1708 2622
3036 1755 3868 2527
2235 2110 3470 4297
4246 2820 3166 3216
2859 2965 2608 2623
547 274 548 3746
1140 82 1062 2486
4345 1953 1908 2584
3771 4138 2498 1843
2640 1930 2444 3098
1041 2726 3769 4198
1822 2880 4244 2477
1563 4203 3704 4214
558 399 557 3295
2132 85 2562 2051
3381 4272 2864 1859
2232 4364 1884 3282
4040 1746 2571 2423
4132 3922 2693 3323
3277 2601 3704 1778
3095 2994 2041 1921
3326 4376 2144 3163
3800 2156 3310 2079
2683 2106 3934 3813
2939 3279 1964 2661
3266 2907 4378 1987
3609 3747 1975 1892
558 787 399 3705
524 2540 2747 2806
1654 1579 1580 2311
1830 3259 4228 2613
2325 2901 2685 2311
210 2314 4347 2262
1200 288 729 3261
418 417 2853 4213
2354 3590 2903 2599
3274 3945 3094 1865
19 17 1529 4386
628 209 3108 4347
1602 860 1631 4173
2385 3693 1781 3128
2548 3376 2107 4016
1704 2192 2663 2957
3486 2418 2060 3702
2385 2948 3693 3128
1312 1097 4031 3248
893 1318 76 2921
1135 311 242 3140
1831 3201 2201 3430
2008 3731 2842 3539
2220 3401 2667 3398
2831 3025 4294 2010
3771 3228 2075 1843
1837 3370 4272 3176
338 1284 337 4079
1487 1475 3062 1950
3465 1479 3321 2026
746 146 747 2716
1914 2236 4219 3337
1447 1510 1896 3584
1882 1829 2097 3624
4148 3501 3475 2457
721 698 699 3820
1425 1514 2631 4262
2957 2192 3398 1884
1547 1648 1533 3989
1933 833 2858 3716
172 523 1187 2128
1243 1266 3459 1916
1755 3036 2557 2074
1524 697 1371 519
3550 4273 2083 2986
1531 21 1613 3876
4064 2131 2826 3514
84 85 2562 3918
1971 2127 1794 4019
2530 1603 2053 3303
3035 2583 3544 1854
1764 2837 3270 1968
1046 421 1484 1043
2446 1683 2632 2592
1803 2192 2667 3398
3277 1778 1764 2860
2041 2955 2865 3202
2459 2925 2810 4045
1781 2461 3128 3197
1456 1527 2114 3005
367 366 881 3519
3687 1872 2856 2436
147 747 3675 4346
2839 1913 2977 1844
3481 2963 1691 2806
2630 2112 2167 2215
4283 2567 2086 2354
1743 2957 1884 2621
1226 908 2984 3927
2663 1803 3273 3398
2690 2257 2484 3406
725 1318 3133 2921
3840 3198 2242 3427
3469 3970 3074 2228
4241 2657 3485 3178
4161 2282 3732 2007
711 3824 3202 2262
2988 3381 2219 2091
3711 1982 4101 4007
1940 2516 2584 4359
211 258 3257 3263
2831 3945 1928 3333
4100 2737 3135 2612
977 1067 3720 3334
3273 1803 2220 3398
1749 3318 2008 3468
2220 2066 3398 1743
3137 1898 2903 2885
1199 498 807 2068
3481 3575 1736 1691
208 740 4347 2162
3457 2232 4364 1884
3401 2797 3186 3128
1672 3803 2596 3065
109 1249 589 1960
548 1293 3917 3345
2334 3341 1781 2443
2283 1692 2941 2080
3155 2030 3209 2131
244 946 1226 3927
414 413 412 3510
4140 1893 1838 2329
3341 3795 1781 2443
3341 2059 3795 2443
1736 2793 2378 3228
863 1366 3200 2940
2059 3341 2334 2443
989 988 739 3042
3331 3970 2321 3233
907 908 3240 2077
4217 2496 2446 3572
3168 2239 2382 2360
3035 2831 3333 1710
2190 3640 2146 3514
210 1070 2994 3202
1577 1578 1654 3355
3904 3603 4119 3110
1952 4283 3192 3420
1532 619 1094 1095
3129 2660 2314 2162
1565 1594 2442 3303
2007 2328 3228 1843
3020 3355 2458 2311
235 602 603 2625
2821 1853 4022 2398
155 158 159 2638
4075 3511 4090 3101
4154 1977 3511 2443
394 1352 4354 1702
1977 3366 2154 2443
166 895 165 3625
216 788 2678 3489
1216 189 3620 2648
3163 4247 2839 1844
3870 1806 3522 3130
3909 1837 2621 4048
477 607 473 2841
3738 1928 2638 2583
1751 3289 2949 3249
2313 1719 4218 3364
1074 1220 475 3922
3511 1977 1918 2443
2653 1903 3968 2447
3001 2459 3453 2274
649 639 4236 2591
747 146 147 1845
148 146 729 2905
3910 3716 3015 3185
985 1275 1183 2143
4240 1996 2915 4191
2379 2202 1834 2216
3474 2146 1682 3337
749 558 3172 2436
2893 2504 2371 1815
2308 2072 2337 2725
1275 1036 1995 1923
3206 4268 3622 2641
4245 2143 1995 1923
1822 2880 3018 4244
2837 1694 2824 2371
71 72 1123 2085
2254 3783 1983 3928
2407 3564 2079 3098
1965 4146 4257 1866
1627 1536 3881 2619
4133 3449 4191 2157
3799 3226 2665 3815
2407 2244 3990 3310
3419 3741 3238 1711
718 1178 2698 3509
320 1136 3088 1729
902 712 3097 2155
1159 997 652 4213
524 581 3905 2747
1074 1134 3495 4099
1786 2242 2439 2447
2505 2326 1719 1984
3863 3328 2778 1800
2461 1781 3101 3557
1662 1588 3970 3233
3768 4034 2426 2359
4164 2644 1766 4377
2232 3070 2667 1884
1632 1529 4386 1863
536 1079 4060 4028
1748 2032 1761 4073
3017 2888 2059 3795
767 1244 2807 1818
1977 4154 3537 2443
1796 2078 3453 2274
2078 1744 2685 2103
965 448 4378 2078
3468 4186 2170 2827
2154 3834 2059 2443
1918 1977 2154 2443
3625 4375 1858 2980
1046 1484 1045 1043
4081 2860 3074 2228
314 315 3586 2747
1918 2154 2334 2443
1190 616 1106 3121
3285 4059 3010 2491
3506 2158 2711 3411
2461 1938 4253 3186
1893 372 2329 2048
534 612 2978 4060
1530 1636 2325 3820
2888 2551 2059 3795
2746 1680 3745 3524
3165 890 3862 1974
3620 3755 2648 3352
725 1250 1137 3133
950 37 1669 3996
3764 2199 2074 3809
2325 2901 3636 3245
1390 1507 1397 2445
1865 3672 1702 3827
2551 3341 2059 3795
1925 2485 2576 2928
4253 3017 3537 3795
1340 3109 3383 2912
4058 2030 2622 3142
466 577 1859 3222
2835 3069 4034 4124
1754 2353 3263 2051
4192 2001 3452 3912
1798 2966 2551 3795
2871 3706 3946 2784
470 981 3632 3194
2691 3368 3395 2194
2888 1798 2551 3795
2966 3341 2551 3795
336 334 1012 2782
2808 3590 2599 3728
2334 2154 2447 2443
3437 2861 1817 2923
4351 368 1844 2993
406 404 2571 2423
4372 2596 2365 2216
3988 4113 2979 2339
2059 2334 2447 2443
1982 3711 3726 4007
814 53 4250 3205
4051 2729 1848 3613
3704 4203 1807 2918
3217 4166 2303 2239
1946 1443 1957 2296
3913 3533 3620 1858
1717 3783 1983 3070
1661 1552 3496 4302
424 279 3309 3596
1954 1815 1682 3461
2526 3309 3596 3915
1925 4276 3318 3342
3195 1873 3475 2556
475 1220 3478 3922
474 475 476 3478
2227 1637 2077 4255
2563 3706 3245 1754
2410 4163 1738 4291
1744 3653 2890 2871
3266 448 2907 3453
2075 4345 3588 1709
1881 2705 3988 2979
1890 3172 3146 4208
2708 3791 3255 3925
3431 3744 3275 4106
3284 3386 1978 2397
2810 2925 2553 2652
4281 2362 1707 3869
1962 4197 3045 3134
753 1321 2700 2907
2884 2855 4257 1866
419 422 421 4108
3353 1694 4359 2371
1615 1668 2763 1863
2320 3932 2498 4058
1670 1617 3030 2253
1903 3341 3968 2447
708 709 637 3156
1497 1398 2273 3817
2874 2125 1800 3627
159 158 780 2638
2961 2183 2770 1912
3402 4002 2293 3939
2506 4375 2980 2477
1029 1009 1256 2316
699 1530 35 3820
2041 4337 1921 2790
1629 1617 1605 2680
4326 2560 4134 2271
2961 2176 2743 2938
1723 1983 4264 3928
244 1015 946 3791
466 710 577 3222
709 1330 2411 2162
1786 2439 3968 2447
2575 4108 2934 3751
2376 3500 2104 2945
2076 3714 3803 1690
3474 2146 2268 1682
4263 2767 4132 1960
459 964 2292 2756
112 111 4331 2742
3199 2422 1682 3337
3158 2819 3040 1805
2380 3079 3169 2390
4384 3614 3029 2228
662 3556 1958 3093
1655 1626 3472 3188
1792 3022 4022 3847
4133 3214 2157 4260
2505 2313 1719 4218
813 1933 1816 2092
1311 751 1321 3453
3381 1837 4272 3909
1035 3351 2792 3096
1878 3997 3342 3295
594 2847 4256 3587
2253 2308 2337 2630
4175 698 2460 3820
2217 4003 2874 3372
2133 2284 2971 2409
1075 898 1890 3841
424 433 3123 3596
3650 1712 3739 3686
570 1302 2244 3990
4212 3630 2365 3601
1717 2232 3070 2667
4002 1867 2293 3939
313 3586 3001 2274
2325 4350 1744 3706
288 1200 290 3261
2935 2110 2195 1868
641 4236 2591 2029
3432 3927 2077 3614
2683 2208 2710 3813
2306 2928 2417 4155
2334 1918 3572 3441
860 859 1265 2807
235 939 4130 2625
1540 1609 2879 2464
2521 2490 3674 3473
4205 3642 2962 1688
2621 1704 2825 2694
66 67 1265 4173
71 1123 509 2546
1918 2242 2450 2447
1876 1546 3494 3262
2849 2659 3438 1725
3727 3668 3830 1825
2997 2533 3780 2021
2849 4210 2662 2551
2849 2662 2572 2551
1664 1604 2297 2530
4121 2607 3490 2096
3055 1898 3137 2129
1829 2729 2570 4320
2084 720 4128 2981
2257 2043 2343 2229
2218 2182 2702 4254
1371 1524 519 1869
1483 520 1869 3415
1796 2078 2274 4279
3342 3705 3295 4056
1692 2283 3127 1851
3578 1985 2875 4227
78 832 1160 1933
3017 2572 4308 2551
887 250 886 2956
66 1245 1376 3534
1753 4259 2066 1988
988 570 1630 568
2572 2662 4308 2551
3246 4109 1841 3541
702 599 3872 3960
2325 4350 3706 1993
2257 2043 2229 3615
165 166 3625 1995
3017 4315 2888 3795
3238 2193 3475 3754
2197 903 3865 3205
1626 1049 1048 1050
1694 2837 4359 2371
1804 2406 3714 3885
277 436 784 3361
4003 2998 2268 4152
1798 2888 4115 3795
1355 667 1562 1050
1626 1355 1050 437
1908 2584 2206 2109
996 2503 3081 2618
198 199 1058 3652
3162 2703 3839 3461
55 4250 3205 2745
2161 1867 4140 4177
2153 2308 2851 2337
1903 3012 1798 2551
2981 964 2222 2292
2122 4161 3732 2007
3012 1903 2662 2551
2385 2966 1798 3795
3217 3168 2095 2239
2298 3281 1832 3599
1721 3357 3734 1949
3425 4378 2078 2685
1930 3382 3077 2444
3069 2525 2727 1958
3705 1925 3342 2436
2335 4285 3304 1709
3664 3542 3492 1725
2367 3875 4190 3452
4090 1999 3101 3572
2012 3374 1998 2476
1903 2662 2551 2059
2944 4167 3484 2346
3341 1903 2551 2059
2683 1805 3847 2106
3707 2778 3502 1724
4275 2837 2210 1968
1717 3401 2797 3186
453 768 2878 4369
1893 1284 1838 2329
1105 1424 953 3005
1001 3004 4005 2870
3054 1874 1686 3124
4064 4206 2044 3953
2902 2536 2655 3698
4154 3950 1977 2209
1500 3988 2979 2339
2648 2939 4012 2578
77 79 78 1827
1304 891 325 2561
183 1071 185 3254
352 1150 2115 4165
466 576 465 1859
1103 1669 1566 1993
1343 3156 3993 2940
1614 1530 1598 4114
1935 4178 3671 2115
372 261 2833 2048
791 795 4029 3014
186 166 187 3625
3229 2665 3149 3607
1898 1215 3254 2903
4245 3283 1714 1995
2553 1758 2010 3544
2162 709 1819 3300
3475 2193 2457 3754
1694 3277 2824 2384
566 563 567 3887
545 544 154 4388
1638 1594 2442 3567
3305 3611 3773 2578
51 49 1296 2233
4385 2218 2702 3543
4003 2998 4145 2268
1600 1618 3038 3576
535 1178 4028 2698
301 1031 2333 2024
2463 1925 3318 3342
2070 2651 2456 2097
2880 3442 3018 1886
2884 4147 1828 3930
2541 2087 4132 3487
2122 2914 1796 3416
2595 2097 1720 2991
3775 1742 2625 2670
921 1255 265 4205
3217 4166 1892 2303
2715 2628 2112 3361
1298 292 2271 3606
966 1321 448 3453
1144 184 1969 3894
4168 3030 2253 4137
2581 2594 2583 2480
3359 3422 3687 2436
3496 1552 3355 4302
2178 1842 2006 3716
3221 4381 1959 3356
2384 2953 1984 3562
2976 3255 3908 3455
1878 2394 3462 3295
803 201 2025 3850
3665 2066 3273 3811
4008 310 1943 2090
2547 2327 2101 3849
2149 2457 3746 2113
4340 2278 2547 3849
2837 2931 2565 3610
288 287 2955 3261
4147 2884 4241 3930
972 2591 3405 2029
2058 1543 4258 2577
3799 2565 2605 4097
1983 3783 2475 2949
3904 4119 1675 2009
1937 3331 2321 3233
20 329 3240 3876
1663 1657 1548 3469
1361 628 1238 2411
983 116 605 4129
2253 2628 2153 2308
1891 4231 1906 2231
1329 1231 664 2510
2055 2567 1926 2359
4051 2323 1906 2701
2602 2201 2690 3430
2727 4283 2359 3192
1674 3249 1942 4000
864 931 930 3615
3012 4210 1798 2551
2474 3151 2067 3252
1672 2519 3601 3880
2366 3603 3328 2647
413 412 3510 4224
3628 3301 2222 2542
3780 4362 3404 1758
2537 1915 3864 3994
1823 2617 2315 2005
3975 1888 3560 1864
2849 4100 2004 3578
3485 3940 1936 2954
2355 3315 2567 1926
2336 1756 2031 3069
2137 453 4369 2455
2033 3396 2811 1696
1980 3353 3953 2893
1785 3002 2115 4165
750 73 4162 2036
768 47 1295 2878
2532 2880 3018 3079
4217 3511 1918 3572
3961 1821 3515 2634
2859 3637 3834 2572
2703 3839 3170 3294
380 1308 3591 3719
3710 2764 3843 2433
2079 1774 2321 4209
311 241 242 2585
3771 4245 2378 3228
989 988 1630 568
3105 2333 2929 3605
246 244 2503 1905
1833 1911 2824 1815
1162 813 1816 2092
2392 2240 1945 4043
455 622 769 3390
4376 3669 1927 1816
2976 2223 3255 3455
1960 2767 3495 4331
2880 1813 4244 2477
1163 1164 2721 2754
3997 1925 2463 3342
1067 1066 3720 3577
2309 4201 2195 4379
816 2995 2402 2724
3573 1707 2624 3371
2042 2358 4265 3571
2539 3227 3289 2002
4362 2616 1770 2010
1174 1066 363 3577
4094 3183 1739 3657
3809 3444 2343 2161
2532 1813 2880 3079
2119 2835 3919 2336
1653 766 2058 4258
2244 988 3576 3042
1552 1577 3496 3355
864 930 828 3615
4356 3672 3697 1865
2928 2417 2586 2463
2670 4088 1882 4086
2241 3768 2426 3134
1903 3742 2662 2059
2316 1029 2911 3890
3904 2366 3328 3138
2757 4368 1746 4185
3020 2313 3189 2505
2074 3809 1690 2987
4276 3212 1989 3146
329 907 3240 3876
2849 3664 3776 1725
3189 4103 1719 3651
2672 3215 4065 3135
3226 2549 3954 1730
2983 4172 2451 4298
2405 3612 3992 2080
2821 1705 2398 3084
2484 3406 3334 2271
3298 1705 3191 2347
770 415 416 2973
1755 3959 3218 2074
1226 996 2503 2984
1191 792 243 2871
533 230 3482 2745
2381 3368 2887 2082
3125 1727 2688 3058
2202 4296 4254 2379
1894 2876 3088 4269
422 453 668 4369
2130 1930 3464 4019
766 129 2959 4258
2457 1708 2477 1731
2652 2021 2039 3544
686 1196 3829 3248
1666 700 1372 4175
2410 1746 4163 3205
2767 4132 4331 1737
2313 3020 3425 2458
1547 1545 1546 3494
4059 2423 2827 3010
292 291 293 2271
648 1215 4295 3254
4158 1149 1851 4112
1788 1776 4243 3647
2914 3364 4139 2328
4163 2355 4185 1738
3611 3997 3773 4056
1749 4186 2528 3143
371 373 2048 3274
2030 2390 3209 2131
3646 3959 2074 2469
532 300 1365 1846
3664 2849 2662 2572
1282 440 4127 1838
1985 1687 2875 4227
